# p2_filt_x, p2_filt_y, p2_smoothed_x, p2_smoothed_y
1.000000000000000000e+02, 1.000000000000000000e+02, nan, nan
8.200181188373898067e+01, 8.210448357217951809e+01, nan, nan
9.665546410889196238e+01, 9.780650152742379078e+01, nan, nan
1.005612137998969757e+02, 1.002013701352441757e+02, nan, nan
9.811196959185446076e+01, 9.774637734442765691e+01, nan, nan
9.438346938260315255e+01, 9.320700398532700603e+01, 1.667258666933721756e+01, 2.068818504249885137e+01
9.028707886947178451e+01, 8.884271342870059129e+01, 2.518722682082363917e+01, 2.445240328114996942e+01
8.558834418171996106e+01, 8.511151453189400229e+01, 2.776920562392104941e+01, 2.495892730935769777e+01
8.107220843673066213e+01, 8.176657021266402126e+01, 2.715880165468885110e+01, 2.611672017246289101e+01
7.806545463284670916e+01, 7.839388874925801076e+01, 2.397792066932528243e+01, 2.655638506232835283e+01
7.535905951250043699e+01, 7.510964866469034007e+01, 2.398572321351221959e+01, 2.607118460861905973e+01
7.291202523266879609e+01, 7.250281512062996114e+01, 2.403671296577728356e+01, 2.500401010873040519e+01
7.069322039098584298e+01, 6.998376947380521074e+01, 2.378357255934115955e+01, 2.451665355153535941e+01
6.867872797550612063e+01, 6.758297605969582378e+01, 2.363624320447688376e+01, 2.359963036355690491e+01
6.683558022760935557e+01, 6.552746377610978357e+01, 2.337486026785006743e+01, 2.222404214844534565e+01
6.486294176771619391e+01, 6.385883564328753437e+01, 2.310049668605873663e+01, 2.087810211287449391e+01
6.314123610652283247e+01, 6.231706732826268080e+01, 2.272915657091182950e+01, 2.049106221483755874e+01
6.156388868528073743e+01, 6.088147693098140678e+01, 2.238863253710451318e+01, 2.024223764651145174e+01
5.954246341653070118e+01, 5.941485383356009464e+01, 2.216655894602380528e+01, 1.996802832123571747e+01
5.823517067650281831e+01, 5.822148308692561613e+01, 2.118472483318298671e+01, 1.991296555330846019e+01
5.582328526740215580e+01, 5.648827967690815655e+01, 2.106825593286477982e+01, 1.991708114458015189e+01
5.480686636250207044e+01, 5.555798960878345838e+01, 1.819093869119547691e+01, 1.856321299357790977e+01
5.373830800242469508e+01, 5.401886888749833560e+01, 1.790707785506722161e+01, 1.870037470435451965e+01
5.291416299789430155e+01, 5.318402093009628118e+01, 1.742184715448846433e+01, 1.718116593006538295e+01
5.210447446299031071e+01, 5.236592030650494678e+01, 1.740241931388942120e+01, 1.717051967938376222e+01
5.124093813564638111e+01, 5.159876538087701192e+01, 1.735982048542658518e+01, 1.712733277413751054e+01
5.046209368562705322e+01, 5.056000660549560166e+01, 1.713639485221479930e+01, 1.716326077340912803e+01
4.973782136301791468e+01, 4.984384419359014373e+01, 1.694086121383110211e+01, 1.630358019058625629e+01
4.902924498595216818e+01, 4.914860144261040631e+01, 1.689175585162620408e+01, 1.622728636782469636e+01
4.836477568021339835e+01, 4.837699759652604570e+01, 1.684045949786541030e+01, 1.614451738747591847e+01
4.741518101301556953e+01, 4.764518798557863732e+01, 1.673509970152861115e+01, 1.570066611986694838e+01
4.682759009753933555e+01, 4.701722366439043554e+01, 1.612824683818126204e+01, 1.556915585245719136e+01
4.616334123330702255e+01, 4.644015711492359344e+01, 1.610319862469301810e+01, 1.544036072124341885e+01
4.554720039455641967e+01, 4.588530557092069273e+01, 1.594605681389207597e+01, 1.546744507103643329e+01
4.498188436422805836e+01, 4.514847522247844580e+01, 1.583301845384709772e+01, 1.549813809206968251e+01
4.396777195903030844e+01, 4.443986159804857294e+01, 1.566275289230527967e+01, 1.490658008017111413e+01
4.345696085233635841e+01, 4.397604466255027234e+01, 1.464735554348124147e+01, 1.452095572960303826e+01
4.274657677571808989e+01, 4.285886869604638605e+01, 1.455864742311573679e+01, 1.456577951039748875e+01
4.234546362121680119e+01, 4.243290125206680585e+01, 1.363029701770783575e+01, 1.250792234832788985e+01
4.171478338575922606e+01, 4.199111993469009718e+01, 1.364113041792636771e+01, 1.232440895083201049e+01
4.129108037919631613e+01, 4.161107512657800100e+01, 1.333306902641893821e+01, 1.237003598634902524e+01
4.078709041770083843e+01, 4.120723847284995855e+01, 1.327382473134033702e+01, 1.241045209855928100e+01
4.035861846024276645e+01, 4.084101539324350227e+01, 1.303101442342609673e+01, 1.241506418913188270e+01
3.991598547477516945e+01, 4.047654316938366037e+01, 1.290361946141755034e+01, 1.245067708715306409e+01
3.957604335821099539e+01, 4.007581790475796168e+01, 1.270945556948209543e+01, 1.247211935148566830e+01
3.924479828457242547e+01, 3.968453652893488481e+01, 1.267488618155820035e+01, 1.228306605748732849e+01
3.891774210192971850e+01, 3.931216342579031675e+01, 1.265656908802563763e+01, 1.204124819194383278e+01
3.847660914468125526e+01, 3.894846757073965193e+01, 1.260943018064794963e+01, 1.184883511973640324e+01
3.814112544627980128e+01, 3.863250956376503353e+01, 1.235576869896069674e+01, 1.180977768650088144e+01
3.783776965710357132e+01, 3.830688025137452257e+01, 1.230466826309831951e+01, 1.179551681354200987e+01
3.750542044977773770e+01, 3.800214444457585472e+01, 1.227567119685731889e+01, 1.171080218482324753e+01
3.721025479644897160e+01, 3.764839790001565945e+01, 1.220508787197349498e+01, 1.170895241823127009e+01
3.688220483025620666e+01, 3.724406588237615523e+01, 1.214243217213272352e+01, 1.145226652758029040e+01
3.660616281155468243e+01, 3.694622038089906368e+01, 1.192791667777994036e+01, 1.098799837193147155e+01
3.629232825363180837e+01, 3.666736881788018110e+01, 1.188722782314635751e+01, 1.084867659670372753e+01
